Term,Dolma,Pile,RPJ
Analgesics,1000104,228665,377441
"Endocarditis, Bacterial",382,70,227
Anatomic Landmarks,24738,9736,8095
Psychiatry,8120625,789555,6509836
"Hernias, Diaphragmatic, Congenital",6,0,14
Taiwan,26456300,2194072,15483879
Vancomycin,957973,359009,409631
Drowning,4864209,553865,2896537
Poverty,39340479,3568156,30638707
Fingers,41374731,5718685,15168366
Saliva,5290086,803302,1626329
Nasal Mucosa,152288,56611,46334
Dehydroepiandrosterone Sulfate,24814,11495,13383
Schizophrenic Psychology,5347,18,320
Absorbable Implants,957,342,381
Amblyopia,331133,64212,113401
Mass Screening,65046,18014,28055
Chest Pain,2460867,294744,710367
Product Labeling,132332,9126,69805
Cause of Death,4389464,682741,2725810
Positive-Pressure Respiration,193,42,158
Iris,8081649,900067,3712832
Sex Offenses,120487,29814,123300
Vasoconstrictor Agents,2539,1392,1357
Smoking,49933057,5570430,15884715
Microscopy,8590387,3507270,3597398
"Fluorescent Antibody Technique, Indirect",53,9,114
Group Processes,93323,6869,47972
Gonadotropin-Releasing Hormone,109853,37155,50628
Suicidal Ideation,691449,135215,338622
Aryldialkylphosphatase,231,102,98
Social Class,1172969,163451,783454
Urothelium,82604,44456,25184
Cluster Analysis,532038,167993,186199
"Antigens, Tumor-Associated, Carbohydrate",26,9,19
"Hyperthermia, Induced",73,35,111
Committee Membership,44348,3037,45926
Rabbits,7400782,1091149,2692356
Career Mobility,38000,1687,21825
"Ventilators, Mechanical",180,21,177
Gestational Age,1025660,432636,396235
Sternum,853732,142933,267640
"Anesthetics, Intravenous",242,66,191
Prosthesis-Related Infections,261,163,120
Piperazines,12187,5060,5339
Drug Users,1048180,169943,685624
Systemic Inflammatory Response Syndrome,57163,29087,25097
Preoperative Care,9395,1558,4008
Intelligence,80415898,8179650,58105145
Florida,103506674,7855062,69083719
"Contraceptives, Oral, Hormonal",38,8,27
Vascular Endothelial Growth Factor A,1715,528,1355
Chemical and Drug Induced Liver Injury,79,0,96
Tamoxifen,2057209,398730,514476
Vision Disorders,36012,3049,13262
Access to Information,2407857,179066,1731471
Community-Institutional Relations,50,7,69
France,94270908,10739772,73606025
Single-Blind Method,706,485,623
Elective Surgical Procedures,19834,3572,7666
"Cholesterol, Dietary",4523,292,1181
Signal Transduction,1224749,623793,507717
Bombs,11903190,1322693,7563469
Cesarean Section,460247,126200,209412
Birth Order,257307,39640,102950
Microbial Sensitivity Tests,478,46,989
Herpesviridae Infections,191,50,269
Vaginal Neoplasms,273,72,261
Diet,222566028,11814153,38312830
Comorbidity,1269477,501873,550405
Semicircular Canals,61890,16325,29833
Patient Discharge,39965,8273,18047
Intestinal Mucosa,213818,86069,66113
Pyridines,29377,14606,12934
"Infectious Disease Transmission, Vertical",93,11,276
"Abortifacient Agents, Nonsteroidal",47,6,4
Hip Fractures,229916,58216,106975
Chronic Disease,2506596,339879,1195361
Mastectomy,1251101,206175,478832
Aromatase Inhibitors,145985,28382,47003
Cell Count,1083536,416277,379326
Reproductive Behavior,48655,12807,30435
Varicose Veins,1222869,56711,264777
Pitch Discrimination,9309,4726,3965
"Neovascularization, Pathologic",58,8,436
Parity,5162884,1424579,3145132
Methotrexate,1584314,302816,654076
Mental Recall,4319,306,1441
Shoulder Pain,946949,76808,198253
"Abortion, Induced",625,174,360
Athletic Performance,968757,47724,307870
Medical Indigency,348,529,274
Molecular Diagnostic Techniques,6771,2075,2972
Immunization Programs,70935,13201,46816
Midodrine,44894,7111,13862
Health Facility Merger,14,3,12
Face,371856767,38637838,157014561
