,Term,Count
0,shoulder,46715488
1,counter,145839346
2,joint,107386330
3,helicopter,11902584
4,varicose veins,1146026
5,transbronchial,58555
6,apnea,4278049
7,optimistic,15263801
8,major,329832132
9,muscle power,286174
10,perineal,469984
11,type 2 diabetes,9440630
12,chemotherapeutices,4
13,enterocolitis,201378
14,hypertension,14471590
15,delivery mode,86499
16,confined placental mosaicism,2401
17,reading comprehension,1443653
18,treatment,325248072
19,hospice care,766531
20,three months,22727337
21,hirschsprung ' s disease,0
22,valvar,17360
23,reflux resolution,614
24,ototoxic,78223
25,third,289977180
26,distal ureteral diameter,65
27,arginine,2100311
28,disability,30268241
29,elderly patients,1252470
30,follicle assessment,154
31,intracranial,1823079
32,better,821046215
33,exist,100410660
34,creatinine,2244061
35,contralateral knee,9545
36,tobacco,23437850
37,remote,83690343
38,phagocytic,405627
39,cell,251880686
40,posterior longitudinal ligament,27929
41,motor vehicle collisions,61276
42,ischemic,3545146
43,psychophysiological responses,7027
44,circumcision,2122539
45,intestinal,9336675
46,mesial,245915
47,defecatory symptoms,601
48,compensated,7901211
49,alexithymia,129144
50,difference between,58562232
51,hypotension,1694205
52,cone beam,119816
53,modal,10800225
54,mastoidectomy,33538
55,dental health,1739003
56,endotracheal,470516
57,coronary,11320143
58,kidneys,6741329
59,condition,233760908
60,unintended pregnancy,173623
61,protein synthesis,1910757
62,fenofibrate,206483
63,zeolite hemostatic,95
64,stress,172715637
65,osteoarthritis,3118374
66,antibiotics,15000980
67,pet,155794760
68,epilepsy,6634511
69,frozen section,144680
70,radiographs,1136835
71,external reinforcement,9173
72,local,576212012
73,labral,151996
74,discharge,24563313
75,wife,159234584
76,polyp,1240975
77,nephrectomy,424638
78,beta,29197048
79,percutaneous coronary,344130
80,single - valve,4
81,the,79394365080
82,anterior cruciate ligament reconstruction,52461
83,blood pressure,45453113
84,pathologic,1295053
85,cell death,3682613
86,supremea®?,0
87,all,4592437048
88,prostate,16876611
89,it,11692851565
90,thrombus,796593
91,intensive,22428644
92,general surgery,485188
93,colorectal carcinoma,139659
94,molar relationship,9918
95,pulmonary,12639959
96,air,509145081
97,of,43498098497
98,severity,19008553
99,tli,229050
100,myelopathy,226233
101,arsenic,2960431
102,vaccination status,661842
103,barium,1006363
104,creep,16853190
105,arch form,19345
106,longer,282344259
107,miralax,38004
108,racial disparities,415909
109,hemorrhage,3026649
110,mastectomy,1170108
111,choroidal thickness,59491
112,cytoreductive surgery,60938
113,ropivacaine,122963
114,antiphospholipid,233143
115,neonatal intensive care unit,229363
116,5 mg daily,127586
117,scl,5652617
118,colon cancer,2372945
119,pancreatectomy,111594
120,increasing,177929419
121,two,1635742349
122,conceived,9361730
123,agent,90223304
124,working in,45735665
125,antiretroviral therapy,684525
126,inflammation,30251174
127,fasting,10206442
