,Term,Count
0,shoulder,6281580
1,counter,16065448
2,joint,11265186
3,helicopter,1215405
4,varicose veins,54969
5,transbronchial,24939
6,apnea,404570
7,optimistic,1099220
8,major,29676465
9,muscle power,30477
10,perineal,101349
11,type 2 diabetes,1004017
12,chemotherapeutices,2
13,enterocolitis,60648
14,hypertension,3186976
15,delivery mode,14797
16,confined placental mosaicism,879
17,reading comprehension,68806
18,treatment,50821423
19,hospice care,43422
20,three months,1991122
21,hirschsprung ' s disease,0
22,valvar,5120
23,reflux resolution,399
24,ototoxic,17058
25,third,35187940
26,distal ureteral diameter,31
27,arginine,500441
28,disability,3939628
29,elderly patients,358331
30,follicle assessment,32
31,intracranial,634803
32,better,57731499
33,exist,15667614
34,creatinine,948052
35,contralateral knee,5292
36,tobacco,2683792
37,remote,6526436
38,phagocytic,200449
39,cell,72501235
40,posterior longitudinal ligament,12719
41,motor vehicle collisions,5083
42,ischemic,1499092
43,psychophysiological responses,2353
44,circumcision,282770
45,intestinal,2583699
46,mesial,92408
47,defecatory symptoms,227
48,compensated,934698
49,alexithymia,49094
50,difference between,7982518
51,hypotension,371876
52,cone beam,26554
53,modal,1879921
54,mastoidectomy,11390
55,dental health,58764
56,endotracheal,168811
57,coronary,3189897
58,kidneys,890764
59,condition,28049307
60,unintended pregnancy,31992
61,protein synthesis,543733
62,fenofibrate,53925
63,zeolite hemostatic,22
64,stress,17443734
65,osteoarthritis,433270
66,antibiotics,2322678
67,pet,20627437
68,epilepsy,1089178
69,frozen section,40599
70,radiographs,410841
71,external reinforcement,1190
72,local,50794445
73,labral,38704
74,discharge,5409506
75,wife,16859697
76,polyp,368259
77,nephrectomy,181793
78,beta,5654164
79,percutaneous coronary,129941
80,single - valve,0
81,the,9229350572
82,anterior cruciate ligament reconstruction,15069
83,blood pressure,3339162
84,pathologic,556086
85,cell death,1874836
86,supremea®?,0
87,all,381250462
88,prostate,2943872
89,it,1002954157
90,thrombus,354894
91,intensive,2423986
92,general surgery,53276
93,colorectal carcinoma,68835
94,molar relationship,4265
95,pulmonary,3817644
96,air,40761008
97,of,5242504657
98,severity,4098450
99,tli,21643
100,myelopathy,72045
101,arsenic,556408
102,vaccination status,33395
103,barium,221999
104,creep,1347724
105,arch form,4209
106,longer,25005226
107,miralax,408
108,racial disparities,41330
109,hemorrhage,996877
110,mastectomy,196545
111,choroidal thickness,28131
112,cytoreductive surgery,22073
113,ropivacaine,52967
114,antiphospholipid,58837
115,neonatal intensive care unit,47881
116,5 mg daily,18567
117,scl,1118238
118,colon cancer,579624
119,pancreatectomy,52928
120,increasing,22678000
121,two,209789447
122,conceived,1791635
123,agent,11999535
124,working in,2693343
125,antiretroviral therapy,187079
126,inflammation,4979808
127,fasting,1358280
128,grade?,10459
129,neoplastic polyp,239
130,stiffness,1324263
131,midshaft,15757
132,reducing,6973995
133,complications,5052282
134,laparotomies,10238
135,after,170047145
136,muscle,9750852
137,surgery,11509600
138,self,54445187
139,cerebellar,548021
140,growth hormone deficiency,16079
141,bone thickness,15433
142,esophagitis,89671
143,radiologists,212079
144,shaving,336038
145,neonatal,1316277
146,quality of life,2155766
147,incontinence,441040
148,viral,5481548
149,ige against,338
150,cigarette packages,6710
151,acid,23368302
152,nasal tip,14241
153,shape analysis,19238
154,immunohistochemistry,779051
155,aortic stenosis,75505
156,animal model,425716
157,clinical supervision,12993
158,web,17459491
159,gender dimorphism,1527
160,terminally,201303
161,well differentiated,36066
162,androgen deficiency,7570
163,austere environments,1910
164,melanomas,156405
165,anastomosis,371348
166,esc,5410008
167,universal,4729445
168,- concentration,724
169,endometrial,637392
170,surgical management,96438
171,in vitro,4335046
172,molluscum,8046
173,macrosomia,31810
174,women,42420859
175,intoxicated,523947
176,rhythm,1970874
177,boycott,510462
178,blood flow,1513398
179,guidewires,17236
180,unresponsive,278225
181,abortion,2578411
182,vlem,41
183,antagonist,1375736
184,tonsillectomy,49640
185,end,108571686
186,compressive,468942
187,safe,13285386
188,supervised,1571769
189,airway surgery,2082
190,body mass index,877463
191,cromones,487
192,xanthogranulomatous,5017
193,total,42374614
194,melanoma,1534456
195,decompressive,29688
196,swedish,24201
197,quality,25897931
198,fine,19579635
199,wheezing,200208
200,driving convictions,2680
201,anglia,807
202,provider,4375390
203,international association of the diabetes,2
204,tubular,1379877
