,Term,Count
0,shoulder,17584917
1,counter,61335118
2,joint,47121684
3,helicopter,7725088
4,varicose veins,233120
5,transbronchial,22017
6,apnea,1058618
7,optimistic,7703312
8,major,168712549
9,muscle power,84166
10,perineal,121081
11,type 2 diabetes,2093703
12,chemotherapeutices,0
13,enterocolitis,105350
14,hypertension,4027141
15,delivery mode,28632
16,confined placental mosaicism,696
17,reading comprehension,430252
18,treatment,115130476
19,hospice care,313989
20,three months,11995871
21,hirschsprung ' s disease,0
22,valvar,7712
23,reflux resolution,278
24,ototoxic,26253
25,third,156808011
26,distal ureteral diameter,16
27,arginine,398552
28,disability,17014533
29,elderly patients,538748
30,follicle assessment,26
31,intracranial,725998
32,better,284077459
33,exist,49575970
34,creatinine,840817
35,contralateral knee,2705
36,tobacco,10803387
37,remote,31276083
38,phagocytic,127543
39,cell,90006633
40,posterior longitudinal ligament,11117
41,motor vehicle collisions,31257
42,ischemic,1308352
43,psychophysiological responses,3016
44,circumcision,1267689
45,intestinal,2990902
46,mesial,77801
47,defecatory symptoms,140
48,compensated,2832731
49,alexithymia,56876
50,difference between,21774693
51,hypotension,667104
52,cone beam,46082
53,modal,4756887
54,mastoidectomy,12768
55,dental health,347263
56,endotracheal,176558
57,coronary,3962323
58,kidneys,1998473
59,condition,75214976
60,unintended pregnancy,108779
61,protein synthesis,577609
62,fenofibrate,80251
63,zeolite hemostatic,20
64,stress,45641191
65,osteoarthritis,1104514
66,antibiotics,5513929
67,pet,60374729
68,epilepsy,2719103
69,frozen section,40021
70,radiographs,379918
71,external reinforcement,3299
72,local,259711854
73,labral,46389
74,discharge,9285543
75,wife,84362231
76,polyp,445792
77,nephrectomy,130033
78,beta,9631989
79,percutaneous coronary,174404
80,single - valve,0
81,the,38462226674
82,anterior cruciate ligament reconstruction,25075
83,blood pressure,6870210
84,pathologic,465908
85,cell death,1349552
86,supremea®?,0
87,all,1777898973
88,prostate,5194562
89,it,4465665961
90,thrombus,230802
91,intensive,9495651
92,general surgery,242725
93,colorectal carcinoma,52279
94,molar relationship,2914
95,pulmonary,4715155
96,air,203267668
97,of,22163131265
