Doc ID,Biomedical Entities,Entity Types
0,"['anorectal', 'endosonography']","['Sign_symptom', 'Diagnostic_procedure']"
1,"['sublingual', 'varices', 'hypertension']","['Detailed_description', 'Disease_disorder', 'Sign_symptom']"
2,"['affinity', 'column', 'mediated', 'immunoassay', 'microparticle', 'enzyme', 'immunoassay method', 'blood', 'tacrolimus']","['Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Diagnostic_procedure', 'Therapeutic_procedure', 'Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Diagnostic_procedure']"
3,['medication'],['Medication']
4,"['rodent', 'blood - brain barrier', 'paclitaxel', 'nd', 'yag', 'laser', 'induced', 'thermo therapy', 'adjuvant', 'glioma']","['Biological_structure', 'Biological_structure', 'Medication', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Disease_disorder']"
5,"['spinal subdural', 'hematoma', 'ruptured', 'intracranial', 'aneurysm']","['Biological_structure', 'Disease_disorder', 'Disease_disorder', 'Biological_structure', 'Disease_disorder']"
6,"['androgens', 'sexual desire']","['Diagnostic_procedure', 'Sign_symptom']"
7,"['zeolite hemostatic', 'agent', 'blood loss']","['Medication', 'Coreference', 'Sign_symptom']"
8,"['cell patterns', 'astrocytomas', 'grade?']","['Diagnostic_procedure', 'Sign_symptom', 'Lab_value']"
9,"['cavitation', 'proximal surfaces', 'cone beam', 'computed tomography']","['Lab_value', 'Biological_structure', 'Diagnostic_procedure', 'Diagnostic_procedure']"
10,"['ultrasound', 'squamous cell carcinoma']","['Diagnostic_procedure', 'Disease_disorder']"
11,"['third', 'ultrasound', 'twin']","['Detailed_description', 'Diagnostic_procedure', 'Family_history']"
12,"['micro', 'computed tomography', 'microstructure', 'maxillary alveolar']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Sign_symptom', 'Biological_structure']"
13,"['primary', 'angioplasty', 'thrombolysis']","['Detailed_description', 'Therapeutic_procedure', 'Therapeutic_procedure']"
14,"['endometrial polyp formation', 'increased', 'vascular endothelial growth factor', 'transforming growth factor - beta1']","['Disease_disorder', 'Lab_value', 'Diagnostic_procedure', 'Diagnostic_procedure']"
15,"['improvements', 'cancer', 'anglia', 'centralisation', 'multidisciplinary']","['Lab_value', 'Coreference', 'Detailed_description', 'Detailed_description', 'Detailed_description']"
16,"['fetal weight', 'ultrasound']","['Diagnostic_procedure', 'Diagnostic_procedure']"
17,[],[]
18,"['adjuvant aromatase inhibitors', 'cardiovascular risk', 'postmenopausal', 'women', 'early', 'breast']","['Medication', 'Diagnostic_procedure', 'Detailed_description', 'Sex', 'Detailed_description', 'Biological_structure']"
19,"['anaphylactic shock', 'percutaneous and laparoscopic techniques', 'liver', 'cyst']","['Disease_disorder', 'Detailed_description', 'Biological_structure', 'Sign_symptom']"
20,"['risk stratification', 'apache ii score']","['Diagnostic_procedure', 'Lab_value']"
21,"['flexible instruments', 'adequate', 'femoral tunnel lengths', '90a° of', 'knee', 'flexion', 'anterior cruciate ligament']","['Detailed_description', 'Lab_value', 'Diagnostic_procedure', 'Lab_value', 'Biological_structure', 'Lab_value', 'Biological_structure']"
22,"['lace plant leaves', 'cell', 'death']","['Biological_structure', 'Detailed_description', 'Coreference']"
23,"['occult', 'lesions', 'knee', 'magnetic resonance', 'arthroscopy']","['Detailed_description', 'Sign_symptom', 'Biological_structure', 'Diagnostic_procedure', 'Diagnostic_procedure']"
24,"['sensation', 'nasal tip', 'microfat grafting']","['Sign_symptom', 'Biological_structure', 'Coreference']"
25,"['u.', 's', 'states', 'higher / lower', 'injury']","['Nonbiological_location', 'Personal_background', 'Nonbiological_location', 'Lab_value', 'Disease_disorder']"
26,['hepatorenal syndrome'],['Disease_disorder']
27,['surge'],['Therapeutic_procedure']
28,"['eq - 5d', 'quality of life instrument', 'acute', 'coronary']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Detailed_description', 'Biological_structure']"
29,"['portable', 'ultrasonography', 'accurate', 'extremity', 'austere environments']","['Detailed_description', 'Diagnostic_procedure', 'Lab_value', 'Biological_structure', 'Detailed_description']"
30,"['grandmultiparity', 'adverse']","['Detailed_description', 'Lab_value']"
31,"['depression', 'antidepressant']","['Disease_disorder', 'Medication']"
32,"['learning', 'postpartum', 'women']","['Diagnostic_procedure', 'Detailed_description', 'Subject']"
33,"['differential', 'dental health', 'british', 'forces']","['Lab_value', 'Diagnostic_procedure', 'Coreference', 'Coreference']"
34,"['rheumatoid arthritis', 'methotrexate', 'folic acid', '5 mg daily', 'folic acid supplements']","['Disease_disorder', 'Medication', 'Medication', 'Dosage', 'Medication']"
35,['medication'],['Medication']
36,"['transfer', 'rehabilitation unit', 'older', 'people', 'fracture']","['Clinical_event', 'Nonbiological_location', 'Age', 'Subject', 'Disease_disorder']"
37,"['african americans', 'acute', 'myocardial infarction']","['Personal_background', 'Detailed_description', 'Disease_disorder']"
38,"['ambulatory process', 'care', 'quality of life outcomes', 'chronic']","['Therapeutic_procedure', 'Therapeutic_procedure', 'Diagnostic_procedure', 'Detailed_description']"
39,"['2 -', 'methoxyestradiol', 'reduce', 'chemotherapeutices']","['Medication', 'Medication', 'Lab_value', 'Medication']"
40,"['dedicated', 'discharge coordinator', 'improve']","['Detailed_description', 'Therapeutic_procedure', 'Lab_value']"
41,"['mph', 'health system', 'low', 'middle', 'income']","['Coreference', 'Diagnostic_procedure', 'Detailed_description', 'Personal_background', 'Personal_background']"
42,"['pap', 'glandular cell']","['Diagnostic_procedure', 'Biological_structure']"
43,"['transcranial', 'direct current', 'unresponsive', 'wakefulness syndrome', 'minimally', 'conscious state']","['Biological_structure', 'Detailed_description', 'Detailed_description', 'Disease_disorder', 'Sign_symptom', 'Detailed_description']"
44,"['etoricoxib', 'primary', 'total', 'hip']","['Medication', 'Detailed_description', 'Detailed_description', 'Biological_structure']"
45,"['outcomes', 'phone', 'survey']","['Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure']"
46,"['emergency physicians', 'acute', 'vertigo']","['Nonbiological_location', 'Detailed_description', 'Sign_symptom']"
47,"['fenofibrate', 'sleep']","['Medication', 'Disease_disorder']"
48,"['antibacterial - loaded hydrogel', 'bacterial colonization', 'biofilm formation']","['Detailed_description', 'Sign_symptom', 'Sign_symptom']"
49,"['anchor fixation', 'improve', 'percutaneous', 'bladder', 'neck', 'suspension', 'female', 'stress', 'urinary', 'incontinence']","['Coreference', 'Lab_value', 'Detailed_description', 'Biological_structure', 'Biological_structure', 'Therapeutic_procedure', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Sign_symptom']"
50,"['leptin', 'phagocytic', 'nadph oxidase']","['Coreference', 'Detailed_description', 'Diagnostic_procedure']"
51,"['head', 'neck', 'cancer', 'recurrence']","['Biological_structure', 'Biological_structure', 'Disease_disorder', 'Sign_symptom']"
52,['laboratory markers'],['Diagnostic_procedure']
53,"['traumatic', 'aortic injury', 'aortic', 'aortic']","['Detailed_description', 'Disease_disorder', 'Biological_structure', 'Biological_structure']"
54,"['idiopathic', 'misty', 'mesentery ona', 'multidetector', 'computed tomography', 'obesity']","['Detailed_description', 'Detailed_description', 'Biological_structure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder']"
55,['fast foods'],['Medication']
56,['prescribing'],['Diagnostic_procedure']
57,"['pulmonary', 'valve replacement', 'adults', 'late', 'after', 'operating']","['Biological_structure', 'Coreference', 'Age', 'Time', 'Date', 'Therapeutic_procedure']"
58,"['amoxapine', 'antipsychotic']","['Medication', 'Sign_symptom']"
59,"['older', 'self - management intervention', 'netherlands', 'older']","['Subject', 'Therapeutic_procedure', 'Nonbiological_location', 'Subject']"
60,"['horizontal', 'semicircular canal', 'ocular', 'reflex', 'influenced']","['Detailed_description', 'Biological_structure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value']"
61,"['preoperative', 'tracheobronchoscopy', 'newborns', 'esophageal', 'atresia']","['Detailed_description', 'Diagnostic_procedure', 'Biological_structure', 'Biological_structure', 'Sign_symptom']"
62,"['kidneys', 'elderly']","['Coreference', 'Detailed_description']"
63,"['muscle power', 'running speed', 'changes of direction']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value']"
64,"['stretch - sensitive', 'kcnq1', 'mutation', 'atrial fibrillation']","['Detailed_description', 'Diagnostic_procedure', 'Coreference', 'Disease_disorder']"
65,"['pelvic', 'structures', 'danger', 'arthroscopic', 'labral']","['Biological_structure', 'Biological_structure', 'Lab_value', 'Detailed_description', 'Biological_structure']"
66,"['better', 'open', 'tme']","['Lab_value', 'Detailed_description', 'Coreference']"
67,"['quality', 'care']","['Diagnostic_procedure', 'Diagnostic_procedure']"
68,['breast'],['Biological_structure']
69,['performance measurement'],['Diagnostic_procedure']
70,"['osteoarthritis', 'pain']","['Disease_disorder', 'Sign_symptom']"
71,"['mossy fibers', 'gaba']","['Sign_symptom', 'Medication']"
72,"['severe', 'macrosomia', '11 - 14 weeks']","['Severity', 'Disease_disorder', 'Date']"
