Term,Dolma,Pile,RPJ
shoulder,46715488,6281580,17584917
counter,145839346,16065448,61335118
joint,107386330,11265186,47121684
helicopter,11902584,1215405,7725088
varicose veins,1146026,54969,233120
transbronchial,58555,24939,22017
apnea,4278049,404570,1058618
optimistic,15263801,1099220,7703312
major,329832132,29676465,168712549
muscle power,286174,30477,84166
perineal,469984,101349,121081
type 2 diabetes,9440630,1004017,2093703
chemotherapeutices,4,2,0
enterocolitis,201378,60648,105350
hypertension,14471590,3186976,4027141
delivery mode,86499,14797,28632
confined placental mosaicism,2401,879,696
reading comprehension,1443653,68806,430252
treatment,325248072,50821423,115130476
hospice care,766531,43422,313989
three months,22727337,1991122,11995871
hirschsprung ' s disease,0,0,0
valvar,17360,5120,7712
reflux resolution,614,399,278
ototoxic,78223,17058,26253
third,289977180,35187940,156808011
distal ureteral diameter,65,31,16
arginine,2100311,500441,398552
disability,30268241,3939628,17014533
elderly patients,1252470,358331,538748
follicle assessment,154,32,26
intracranial,1823079,634803,725998
better,821046215,57731499,284077459
exist,100410660,15667614,49575970
creatinine,2244061,948052,840817
contralateral knee,9545,5292,2705
tobacco,23437850,2683792,10803387
remote,83690343,6526436,31276083
phagocytic,405627,200449,127543
cell,251880686,72501235,90006633
posterior longitudinal ligament,27929,12719,11117
motor vehicle collisions,61276,5083,31257
ischemic,3545146,1499092,1308352
psychophysiological responses,7027,2353,3016
circumcision,2122539,282770,1267689
intestinal,9336675,2583699,2990902
mesial,245915,92408,77801
defecatory symptoms,601,227,140
compensated,7901211,934698,2832731
alexithymia,129144,49094,56876
difference between,58562232,7982518,21774693
hypotension,1694205,371876,667104
cone beam,119816,26554,46082
modal,10800225,1879921,4756887
mastoidectomy,33538,11390,12768
dental health,1739003,58764,347263
endotracheal,470516,168811,176558
coronary,11320143,3189897,3962323
kidneys,6741329,890764,1998473
condition,233760908,28049307,75214976
unintended pregnancy,173623,31992,108779
protein synthesis,1910757,543733,577609
fenofibrate,206483,53925,80251
zeolite hemostatic,95,22,20
stress,172715637,17443734,45641191
osteoarthritis,3118374,433270,1104514
antibiotics,15000980,2322678,5513929
pet,155794760,20627437,60374729
