,Term,Count
0,Analgesics,1000104
1,"Endocarditis, Bacterial",382
2,Anatomic Landmarks,24738
3,Psychiatry,8120625
4,"Hernias, Diaphragmatic, Congenital",6
5,Taiwan,26456300
6,Vancomycin,957973
7,Drowning,4864209
8,Poverty,39340479
9,Fingers,41374731
10,Saliva,5290086
11,Nasal Mucosa,152288
12,Dehydroepiandrosterone Sulfate,24814
13,Schizophrenic Psychology,5347
14,Absorbable Implants,957
15,Amblyopia,331133
16,Mass Screening,65046
17,Chest Pain,2460867
18,Product Labeling,132332
19,Cause of Death,4389464
20,Positive-Pressure Respiration,193
21,Iris,8081649
22,Sex Offenses,120487
23,Vasoconstrictor Agents,2539
24,Smoking,49933057
25,Microscopy,8590387
26,"Fluorescent Antibody Technique, Indirect",53
27,Group Processes,93323
28,Gonadotropin-Releasing Hormone,109853
29,Suicidal Ideation,691449
30,Aryldialkylphosphatase,231
31,Social Class,1172969
32,Urothelium,82604
33,Cluster Analysis,532038
34,"Antigens, Tumor-Associated, Carbohydrate",26
35,"Hyperthermia, Induced",73
36,Committee Membership,44348
37,Rabbits,7400782
38,Career Mobility,38000
39,"Ventilators, Mechanical",180
40,Gestational Age,1025660
41,Sternum,853732
42,"Anesthetics, Intravenous",242
43,Prosthesis-Related Infections,261
44,Piperazines,12187
45,Drug Users,1048180
46,Systemic Inflammatory Response Syndrome,57163
47,Preoperative Care,9395
48,Intelligence,80415898
49,Florida,103506674
50,"Contraceptives, Oral, Hormonal",38
51,Vascular Endothelial Growth Factor A,1715
52,Chemical and Drug Induced Liver Injury,79
53,Tamoxifen,2057209
54,Vision Disorders,36012
55,Access to Information,2407857
56,Community-Institutional Relations,50
57,France,94270908
58,Single-Blind Method,706
59,Elective Surgical Procedures,19834
60,"Cholesterol, Dietary",4523
61,Signal Transduction,1224749
62,Bombs,11903190
63,Cesarean Section,460247
64,Birth Order,257307
65,Microbial Sensitivity Tests,478
66,Herpesviridae Infections,191
67,Vaginal Neoplasms,273
68,Diet,222566028
69,Comorbidity,1269477
70,Semicircular Canals,61890
71,Patient Discharge,39965
72,Intestinal Mucosa,213818
73,Pyridines,29377
74,"Infectious Disease Transmission, Vertical",93
75,"Abortifacient Agents, Nonsteroidal",47
76,Hip Fractures,229916
77,Chronic Disease,2506596
78,Mastectomy,1251101
79,Aromatase Inhibitors,145985
80,Cell Count,1083536
81,Reproductive Behavior,48655
82,Varicose Veins,1222869
83,Pitch Discrimination,9309
84,"Neovascularization, Pathologic",58
85,Parity,5162884
86,Methotrexate,1584314
87,Mental Recall,4319
88,Shoulder Pain,946949
89,"Abortion, Induced",625
90,Athletic Performance,968757
91,Medical Indigency,348
92,Molecular Diagnostic Techniques,6771
93,Immunization Programs,70935
94,Midodrine,44894
95,Health Facility Merger,14
96,Face,371856767
97,Penis,67443776
98,"Receptors, Estrogen",1538
99,Rehabilitation Centers,380003
100,Nutrition Surveys,12085
101,"Cell Line, Tumor",480
102,Lipoproteins,781761
103,Immune Tolerance,145335
104,Lupus Coagulation Inhibitor,41
105,Patch-Clamp Techniques,4494
106,"Ventricular Function, Right",151
107,Healthy Lifestyle,4621144
108,Pancreatectomy,118797
109,Poland,25019791
110,Hydrocephalus,675295
111,"Receptors, Immunologic",51
112,Drug-Related Side Effects and Adverse Reactions,262
113,"Metabolism, Inborn Errors",932
114,Geographic Atrophy,43381
115,College Admission Test,55725
116,Cell Differentiation,832303
117,Germ Cells,419991
118,Pneumococcal Vaccines,39580
119,Hyponatremia,472733
120,Fatty Liver,1314198
121,Pseudomonas aeruginosa,797570
122,Health Services Needs and Demand,114
123,Smoking Cessation,1410977
124,Health Status Indicators,7695
125,Endovascular Procedures,31469
126,"Medical Staff, Hospital",1603
127,Endpoint Determination,2042
128,Rh Isoimmunization,646
129,Lung Neoplasms,6597
130,"Gene Expression Regulation, Neoplastic",148
131,Confidence Intervals,1556798
132,Radiology,4647980
133,Interdisciplinary Communication,18866
134,Orthodontic Brackets,28251
135,Immunosuppressive Agents,98211
136,Isoproterenol,182899
137,Gastrointestinal Diseases,142057
138,"Cholesteatoma, Middle Ear",65
139,Intraoperative Care,3442
140,Dementia,16352405
141,Asia,86002733
142,Academic Medical Centers,159274
143,Percutaneous Coronary Intervention,329331
144,Writing,351868763
145,Sarcoidosis,712615
146,Pelvic Organ Prolapse,144235
147,Publishing,48908600
148,Heart Ventricles,6643
149,Kaplan-Meier Estimate,368
150,Blood Transfusion,979353
151,Afghanistan,25577158
152,Hospice Care,962113
153,China,282824535
154,Life Tables,71544
155,Tumor Suppressor Protein p53,10524
156,"Carcinoma, Hepatocellular",3033
157,Follicle Stimulating Hormone,92462
158,Virus Diseases,34105
159,Learning Disorders,119076
160,Dilatation,964505
161,Fibrinogen,839384
162,"Liver Cirrhosis, Alcoholic",395
163,Mesopic Vision,2459
164,"Infant, Newborn",3471
165,Fluoroscopy,432891
166,Anti-Inflammatory Agents,162264
167,Colon,40593013
168,Nuclear Family,863649
169,Depression,65263342
170,"Ventricular Dysfunction, Left",424
171,Interleukin-15,15789
172,"Pregnancy Complications, Hematologic",35
173,"Carcinoma, Signet Ring Cell",205
174,Veterinarians,2833237
175,"Radiography, Bitewing",19
176,Brain Death,209430
177,"Insurance, Health",175473
178,Body Composition,1636250
179,Testis,1172009
180,Netherlands,28986787
181,Alabama,26694985
182,Insulin,28178742
183,Transcranial Direct Current Stimulation,65133
184,Ethanol,9941908
185,Oxygen,44534758
186,Cytoreduction Surgical Procedures,18
187,Endomyocardial Fibrosis,6817
188,"Mutation, Missense",298
189,Subarachnoid Hemorrhage,249889
190,Cross-Sectional Studies,177468
191,Medicare,23496217
192,Colorectal Neoplasms,13531
193,"Lens, Crystalline",89
194,Copper,61752708
195,Breast Neoplasms,7398
196,Volunteers,40144747
197,Constipation,5915727
198,Vertigo,2788572
199,Nursing Assessment,87883
200,Manikins,113739
201,Nasal Septum,139131
202,Anxiety Disorders,1608043
203,Tibial Meniscus Injuries,6
204,"Anesthetics, Local",577
205,Polysaccharides,1090649
206,Erythrocyte Indices,2782
207,Patient Education as Topic,191
208,Evidence-Based Medicine,328322
209,"Anti-Inflammatory Agents, Non-Steroidal",241
210,Workplace,46512431
211,Parturition,265386
212,Government,512492273
213,Mortality,28304911
214,Cholesterol,23512519
215,Nasal Decongestants,26306
216,Patient Readmission,4265
217,Polyethylene Glycols,19588
218,Viruses,22040562
219,Minimally Invasive Surgical Procedures,21722
220,Pneumothorax,555661
221,Pyrimidines,92847
222,Los Angeles,60145893
223,Femoral Artery,294269
224,Liver Neoplasms,3704
225,Managed Care Programs,15856
226,Rare Diseases,805679
227,Professional Role,169194
228,Capnography,83794
229,Eczema,5286807
230,Frail Elderly,106285
231,Geriatric Assessment,63515
232,Reference Values,334052
233,"Sequence Analysis, DNA",287
234,Sodium Bicarbonate,751927
235,Diabetic Angiopathies,624
236,Humans,71107767
237,Tongue,28740122
238,Ohio,53242227
239,Sutures,1415676
240,Amylases,43653
241,"Sleep Apnea, Obstructive",1722
242,Pneumonia,9953209
243,Breast Feeding,774429
244,Premature Birth,390833
245,"Pathology, Veterinary",1351
246,Low Back Pain,1600230
247,Latin America,12854966
248,Androstenedione,164044
249,Interferon-gamma,151430
250,Walking,110846828
251,Reminder Systems,18710
252,Cross Infection,60433
253,Trigeminal Neuralgia,216449
254,Warm Ischemia,25849
255,"Serum Albumin, Bovine",591
256,Prostate,19288894
257,Neisseria gonorrhoeae,150051
258,Echocardiography,1684094
259,"Education, Graduate",11369
260,"Insurance, Pharmaceutical Services",305
261,Operative Time,200976
262,Quality Improvement,2015414
263,Sleep Wake Disorders,862
264,Police,237031860
265,Intention,48267655
266,Immunoenzyme Techniques,182
267,Government Programs,836177
268,Haplotypes,902944
269,Tissue Expansion Devices,76
270,Granulocytes,333657
271,Bariatric Surgery,1128978
272,Digestive System Surgical Procedures,101
273,Autonomic Pathways,3233
274,"Diet, Atherogenic",40
275,Pyramidal Cells,157443
276,Transplant Donor Site,66
277,Manitoba,5311460
278,Cost-Benefit Analysis,505462
279,Prostheses and Implants,1969
280,Methadone,2438466
281,Rural Health Services,13548
282,Swine,3655437
283,Arsenic,3483865
284,"Labor Stage, First",5
285,Enterococcus,487945
286,Euthyroid Sick Syndromes,27
287,Pulmonary Medicine,103218
288,Ethnic Groups,2965434
289,Nutrition Assessment,36224
290,Ontario,33758518
291,"Cholecystectomy, Laparoscopic",1139
292,Beverages,15768699
293,Cold Temperature,273477
294,Spermatozoa,684304
295,Risk Assessment,5481662
296,Breast Diseases,30932
297,Drug Utilization,55820
298,Necrosis,4013579
299,Clavicle,917875
300,"Infant, Low Birth Weight",174
301,Sexual Behavior,932127
302,Hepatic Veins,42656
303,Leg,197621759
304,Blood Glucose,5746417
305,Bone Density,1313405
306,Poliovirus Vaccines,3994
307,Personality Inventory,96481
308,Developing Countries,8605923
309,Prosthesis Design,8967
310,Social Support,2234011
311,"Anesthesia, Spinal",1189
312,Excitatory Postsynaptic Potentials,13305
313,Anti-Retroviral Agents,1593
314,Feces,2762717
315,Adrenocorticotropic Hormone,83147
316,Outcome and Process Assessment (Health Care),28
317,Barium Sulfate,180865
318,"Chromatography, Liquid",2960
319,"Hernia, Hiatal",414
320,Choroid,972334
321,Odds Ratio,988669
322,India,267676443
323,Shoulder Dislocation,64285
324,Dental Alloys,11472
325,Tooth Discoloration,67337
326,Preoperative Period,30723
327,Laminectomy,201743
328,Tunica Intima,13936
329,Soccer,39310006
330,"Biofeedback, Psychology",71
331,Fetus,4920320
332,Head and Neck Neoplasms,3092
333,"Neoplasms, Second Primary",66
334,Pollen,7718313
335,"Cholangiopancreatography, Endoscopic Retrograde",148
336,Staphylococcus aureus,1545553
337,Meglumine,52089
338,"History, 21st Century",307
339,Colectomy,198493
340,Brazil,56891476
341,Tooth Extraction,654475
342,Catheter Ablation,181736
343,"Economics, Hospital",1026
344,Clinical Protocols,77935
345,Drug Therapy,821122
346,Poliomyelitis,201940
347,Breast Density,119289
348,Wet Macular Degeneration,22139
349,Acute Disease,83571
350,Glomerular Filtration Rate,408438
351,"Fertility Agents, Female",14
352,Pancreatic Neoplasms,13739
353,Leuprolide,68399
354,Trauma Severity Indices,125
355,United States,247335983
356,"Tachycardia, Ventricular",8848
357,Pancreatitis,2094679
358,Seminiferous Tubules,108992
359,Infant Mortality,905506
360,Epidural Abscess,40499
361,Patient Care Team,35665
362,Angioplasty,853116
363,Breast Implantation,5721
364,Alanine Transaminase,58227
365,Ovulation Induction,89334
366,Self-Assessment,1847889
367,Urinalysis,725813
368,Secondary Prevention,305288
369,Dietary Proteins,26349
370,Medical Record Linkage,853
371,Caribbean Region,35707
372,Glasgow Coma Scale,88344
373,Immunoglobulin M,16196
374,Postpartum Period,300444
375,Phosphorylation,6628369
376,Accidental Falls,52408
377,Spinal Diseases,15638
378,Prevalence,21378502
379,Hypolipidemic Agents,3304
380,"Circumcision, Male",341
381,Urinary Bladder Diseases,321
382,Clinical Trials as Topic,664
383,Jugular Veins,39625
384,Carboplatin,455511
385,"Hydrogel, Polyethylene Glycol Dimethacrylate",19
386,Cysts,2969760
387,Hospitalization,5544163
388,Combined Modality Therapy,17067
389,Dark Adaptation,46613
390,Decision Support Techniques,1500
391,Kinesis,539981
392,Abdominal Pain,2530349
393,Lung Diseases,501475
394,Health Services Misuse,41
395,Sports Medicine,2209111
396,Strabismus,409845
397,Uveal Neoplasms,198
398,Needs Assessment,793924
399,Hospital Mortality,128538
400,Mucous Membrane,497293
401,"Rats, Sprague-Dawley",355
402,"Range of Motion, Articular",103
403,Drug Combinations,163893
404,Hepatic Artery,151104
405,Albuterol,890215
406,Nasal Obstruction,111844
407,Molluscum Contagiosum,55610
408,Middle East,28625709
409,"Receptors, Vasopressin",104
410,Physician-Patient Relations,2349
411,Terrorism,18350290
412,Body Weight,9586315
413,Acquired Immunodeficiency Syndrome,136226
414,Patient Outcome Assessment,323
415,Actin Cytoskeleton,304926
416,Dizziness,5149684
417,Freezing,15107647
418,Octreotide,185505
419,Neoplasm Grading,107
420,Persistent Vegetative State,52536
421,Pliability,233200
422,Portal Vein,386636
423,Budgets,15122580
424,"Aorta, Thoracic",625
425,Community Health Services,109345
426,Povidone-Iodine,70343
427,Appendicitis,902868
428,Reproducibility of Results,20490
429,Basal Metabolism,42639
430,Language,257525694
431,Nurse Clinicians,6641
432,Heart Valve Prosthesis,5320
433,Military Personnel,2540233
434,Fiber Optic Technology,24324
435,Amaurosis Fugax,8963
436,Arthroscopy,620913
437,Taxoids,7018
438,"Sperm Injections, Intracytoplasmic",15
439,Dental Caries,651061
440,Baths,14033172
441,Surgical Stomas,86
442,Peroxisome Proliferator-Activated Receptors,20365
443,Oropharyngeal Neoplasms,285
444,"Anti-Infective Agents, Local",107
445,Lebanon,11820489
446,Neural Pathways,347764
447,Elastomers,556640
448,Medically Uninsured,5347
449,Health Care Rationing,11407
450,"Disease Models, Animal",616
451,Insulin Resistance,3484260
452,Colonoscopy,1758746
453,"Hospitals, General",7035
454,Body Mass Index,2440772
455,"Carcinoma, Papillary",1990
456,Hepatectomy,222615
457,"Gait Disorders, Neurologic",43
458,Transportation of Patients,11563
459,Temporal Lobe,588079
460,"Quality Assurance, Health Care",274
461,Robotics,9557658
462,Bicuspid,147044
463,"Osteoarthritis, Knee",2290
464,Lymph Node Excision,3096
465,Choice Behavior,52787
466,Sulfasalazine,175744
467,DNA Virus Infections,112
468,"Administration, Oral",1982
469,Advertising as Topic,55
470,Home Care Services,409219
471,Smoking Prevention,52844
472,"Pregnancy Complications, Neoplastic",54
473,Femur,1668084
474,Chlorhexidine,454263
475,"Diet, Diabetic",1489
476,Emergency Medical Services,688944
477,"Potassium Channels, Voltage-Gated",89
478,Foreign-Body Migration,44
479,Platelet Count,596408
480,Lymphocyte Count,134831
481,Pituitary Neoplasms,1241
482,Diarrhea,9654611
483,"Tomography, X-Ray Computed",419
484,"Arthritis, Rheumatoid",16843
485,Pregnancy,53709043
486,Cardiovascular Agents,6250
487,Kidney Diseases,454622
488,Tissue Plasminogen Activator,114211
489,Cardiopulmonary Bypass,245702
490,Thyrotropin,131611
491,Stents,1176063
492,Informed Consent,3991512
493,"Polymorphism, Genetic",699
494,"Blood Pressure Monitoring, Ambulatory",91
495,"Purpura, Thrombocytopenic, Idiopathic",53
496,"Pregnancy Trimester, Second",26
497,"Rats, Inbred F344",45
498,Antineoplastic Combined Chemotherapy Protocols,145
499,Washington,119970567
500,CD56 Antigen,24
501,Synaptic Transmission,287924
502,Leptin,3530038
503,"Dilatation, Pathologic",480
504,"Mastectomy, Segmental",117
505,"Diabetes, Gestational",13158
506,Biomechanical Phenomena,818
507,Radiation Protection,421455
508,Device Removal,21927
509,Adverse Drug Reaction Reporting Systems,227
510,Reverse Transcriptase Polymerase Chain Reaction,40967
511,Electromyography,309281
512,Aging,32800108
513,Visual Acuity,1219900
514,DNA,61547559
515,Lumbosacral Region,12661
516,Intercellular Signaling Peptides and Proteins,319
517,Cone-Beam Computed Tomography,44532
518,Benzalkonium Compounds,101
519,Gastrectomy,516186
520,Continuous Positive Airway Pressure,175419
521,Sensitivity and Specificity,976385
522,Tooth,51671091
523,Bipolar Disorder,3089994
524,Amoxapine,20775
525,Oral Health,5357067
526,Blood Gas Analysis,68525
527,"Education, Medical, Graduate",105
528,Secretin,103101
529,Internship and Residency,100523
530,Intra-Abdominal Fat,14335
531,Parents,218959713
532,Sexually Transmitted Diseases,839710
533,Life Expectancy,5293157
534,Interpersonal Relations,205922
535,Prenatal Diagnosis,198979
536,Retrospective Studies,180015
537,Sensory Thresholds,9066
538,Coronary Disease,224650
539,End Stage Liver Disease,16009
540,"Pregnancy, Animal",328
541,"Hearing Loss, Sudden",428
542,Indicators and Reagents,206
543,HLA Antigens,1715
544,Mandibular Fractures,22090
545,Carboxylic Ester Hydrolases,354
546,Xanthomatosis,15083
547,Cholecystitis,288060
548,Maxilla,487375
549,Premedication,136299
550,"Pattern Recognition, Physiological",17
551,Gynecologic Surgical Procedures,2328
552,Rural Population,450345
553,Specific Pathogen-Free Organisms,68
554,Abdominal Fat,344660
555,Poisons,2115576
556,Blood Group Incompatibility,3972
557,New Jersey,34879469
558,Feasibility Studies,594120
559,Fertilization in Vitro,3682
560,Abdomen,7797809
561,"Hospitals, Psychiatric",5486
562,"Hypertrophy, Left Ventricular",746
563,Folic Acid,2480617
564,Tibia,1340570
565,"Models, Statistical",7194
566,Adipose Tissue,2134383
567,Immunohistochemistry,1611317
568,Status Epilepticus,227744
569,Causality,2195233
570,Punctures,987642
571,"Tuberculosis, Gastrointestinal",289
572,"Memory, Short-Term",5576
573,"Hepatitis, Viral, Human",74
574,False Negative Reactions,704
575,Radiosurgery,361753
576,Health Care Surveys,1796
577,Karyotyping,104091
578,"Administration, Topical",718
579,"Hospitals, High-Volume",61
580,Systole,216928
581,Affective Symptoms,26399
582,"Neoplasms, Radiation-Induced",66
583,Noise,77017263
584,Body Temperature,3479819
585,Glass,204510930
586,"Nystagmus, Physiologic",9
587,Fetal Macrosomia,18337
588,Time Factors,41465
589,Anti-HIV Agents,2555
590,Injury Severity Score,45758
591,"Statistics, Nonparametric",778
592,Neuroimmunomodulation,8203
593,"Echinococcosis, Hepatic",17
594,Midwifery,1591566
595,Task Performance and Analysis,136
596,"Dermatitis, Atopic",4957
597,Carotid Arteries,235839
598,Longitudinal Studies,404873
599,DNA Probes,2699
600,"Intensive Care Units, Neonatal",430
601,Subclavian Steal Syndrome,4388
602,Mammography,1369878
603,Thyroidectomy,320467
604,Biometry,122336
605,Health Resources,731304
606,Triiodothyronine,167471
607,Occupational Exposure,317185
608,Insurance Coverage,12515740
609,Adrenal Cortex Hormones,2409
610,Sacrum,465750
611,Colonic Polyps,21717
612,Inorganic Chemicals,65090
613,Staining and Labeling,363
614,Birth Weight,1543783
615,Respiratory Sounds,12436
616,Gastric Emptying,301906
617,Hospital Bed Capacity,13091
618,Incidence,19890763
619,Patient Participation,91740
620,Orthodontic Anchorage Procedures,27
621,Manuals as Topic,16
622,"Anemia, Sickle Cell",2567
623,Triage,2171665
624,Essential Tremor,164291
625,"Cholesterol, LDL",3026
626,Women's Health,1321372
627,Osmolar Concentration,746
628,Cerebellar Neoplasms,195
629,Esterification,239869
630,Palliative Care,3007505
631,"Homosexuality, Male",730
632,"Endothelium, Vascular",865
633,Nursing Homes,3944826
634,"Ultrasonography, Prenatal",148
635,Vascular Resistance,292033
636,Mesentery,178847
637,Hyperbaric Oxygenation,10703
638,Tensile Strength,2679270
639,"Intubation, Gastrointestinal",94
640,Fenofibrate,250703
641,Polyps,1645948
642,Eosinophilia,341503
643,Coronary Artery Disease,1510495
644,Paraffin Embedding,29974
645,"Milk, Human",1626
646,Sex Hormone-Binding Globulin,35250
647,Dental Arch,112103
648,Myocardial Ischemia,300804
649,Risk,339428990
650,Carotid Artery Thrombosis,2352
651,"Monitoring, Physiologic",135
652,Bone Plates,22612
653,"Administration, Inhalation",361
654,Antitussive Agents,1406
655,State Medicine,7451
656,Biocompatible Materials,39288
657,Solvents,4404233
658,Recovery of Function,24603
659,Coronary Care Units,8629
660,Pubic Bone,234934
661,Lymphoma,5436530
662,"Carotid Artery, Internal",1419
663,Preventive Health Services,45527
664,Pelvis,4099681
665,Durapatite,246
666,Atenolol,665608
667,"Genital Neoplasms, Female",88
668,Schizophrenia,6635812
669,Microglia,1658635
670,Dyspnea,954816
671,Adenocarcinoma,2267178
672,Pedigree,3644567
673,Public Opinion,4477220
674,Automobiles,8298957
675,External Fixators,17369
676,Heart Atria,1369
677,Retinal Hemorrhage,17135
678,Germany,102482523
679,Child Abuse,3842860
680,Correction of Hearing Impairment,46
681,Neuropsychological Tests,97688
682,Patient Admission,28619
683,Somatoform Disorders,32753
684,Contrast Media,195991
685,Ovarian Follicle,40342
686,"Respiratory Distress Syndrome, Newborn",57
687,Intraoperative Period,10119
688,"Models, Educational",1608
689,Lymphatic Metastasis,30897
690,Postoperative Complications,445590
691,Religion and Medicine,7162
692,Personality Disorders,670634
693,"Receptors, Serotonin",1557
694,"Models, Theoretical",1726
695,Tympanoplasty,59524
696,Genotype,4952603
697,Administrative Personnel,117284
698,Guidelines as Topic,1009
699,Histamine,1699038
700,Documentation,49918024
701,Censuses,513666
702,Multiple Organ Failure,127317
703,Cell Movement,73486
704,Allergens,4498489
705,"Stress, Psychological",8694
706,Rhinoplasty,1203643
707,Intracranial Thrombosis,464
708,Thymoma,130188
709,"Malocclusion, Angle Class III",35
710,Computer Simulation,556212
711,Research,758216456
712,Acetabulum,188457
713,"Lipoproteins, LDL",101
714,Randomized Controlled Trials as Topic,280
715,Basketball,48401120
716,"Pregnancy, Ectopic",1551
717,New Zealand,50605436
718,Radiotherapy Dosage,533
719,Nutritional Status,788396
720,"Arthroplasty, Replacement, Knee",72
721,Skin Tests,93746
722,Parkinson Disease,69074
723,Eye Diseases,465371
724,Antidepressive Agents,3172
725,Probability,38485656
726,Hip,45652170
727,Tuberculoma,22527
728,Whole Body Imaging,6728
729,Skin Absorption,47002
730,"Fractures, Bone",6851
731,Femoral Neck Fractures,36687
732,"Audiometry, Evoked Response",19
733,Joint Instability,38969
734,"RNA, Messenger",510
735,Antibody Specificity,23292
736,Molecular Probe Techniques,72
737,Respiratory System,1247581
738,Program Evaluation,435690
739,Prosthesis Implantation,18390
740,Demography,1177384
741,Pediatrics,4827068
742,Switzerland,26585064
743,Thoracotomy,225037
744,Pharmacies,8460477
745,"Reagent Kits, Diagnostic",80
746,Life Style,2096014
747,Point-of-Care Systems,1971
748,Teaching,128192688
749,Tyrosine,3209235
750,Imitative Behavior,4484
751,Mutation,14958243
752,"Electrocardiography, Ambulatory",205
753,Guinea Pigs,1555811
754,Trigeminal Nerve,185859
755,"Carcinoma, Non-Small-Cell Lung",817
756,Peritoneal Neoplasms,327
757,Drug Costs,351980
758,Hospital Units,45870
759,Esophageal Atresia,37653
760,Reading,263272934
761,Observer Variation,3359
762,Morbidity,5432343
763,Adhesives,3398830
764,Antitubercular Agents,4075
765,"Mossy Fibers, Hippocampal",7
766,Dietary Fiber,1448666
767,Open Fracture Reduction,258
768,Bone Marrow,5407188
769,Exercise,135609581
770,Metabolic Diseases,396942
771,Radiotherapy,3949118
772,Health Services Accessibility,1239
773,Sperm Count,964791
774,Noninvasive Ventilation,59288
775,Alphapapillomavirus,1059
776,"Analgesia, Epidural",677
777,Head Protective Devices,143
778,Pelvic Pain,642853
779,Pregnancy Complications,247856
780,Mitochondria,4391361
781,Drug Prescriptions,49731
782,"Child, Preschool",1900
783,Kentucky,24648319
784,Retinal Diseases,111177
785,Health Personnel,236018
786,Head-Down Tilt,6701
787,Algorithms,30702905
788,Postoperative Care,110963
789,Heart Valve Prosthesis Implantation,131
790,Computer-Aided Design,386793
791,Refractive Errors,142626
792,Fecal Incontinence,136400
793,Renal Dialysis,61662
794,Supine Position,331910
795,Hip Joint,749973
796,Multilingualism,336984
797,Extremities,2372322
798,Muscle Spasticity,45957
799,"Chromatography, High Pressure Liquid",523
800,Nasopharyngeal Neoplasms,576
801,Forecasting,8420073
802,Cyclophosphamide,757544
803,"Hospitals, Private",36792
804,Turkey,54414302
805,Adrenergic beta-Antagonists,348
806,Cushing Syndrome,17227
807,Glucose Tolerance Test,238038
808,Locomotion,1299743
809,Pancreatic Juice,52071
810,"Radiotherapy, Conformal",65
811,"Lasers, Solid-State",802
812,Intestinal Neoplasms,1358
813,Arthrodesis,174130
814,Knee Prosthesis,24588
