Term,Dolma,Pile,RPJ
Analgesics,0.3259941330578124,0.5965703213265361,0.272335163934693
"Endocarditis, Bacterial",0.00012451680907994,0.00018262489883828976,0.0001637874057486476
Anatomic Landmarks,0.008063604248742294,0.025400514501279843,0.005840788764472698
Psychiatry,2.6470008186774554,2.059891457175227,4.69704471493019
"Hernias, Diaphragmatic, Congenital",1.9557613991613613e-06,0.0,1.0101425905202938e-05
Taiwan,8.623701717438788,5.724173957770344,11.17208974597341
Vancomycin,0.3122611024731345,0.9366283186719367,0.29556122821244174
Drowning,1.5855386999422145,1.4449934227867052,2.089939563369914
Poverty,12.82343170878636,9.309058979131953,22.10675918512304
Fingers,13.486516965080826,14.919632423043502,10.94443751799996
Saliva,1.7243576661739883,2.095756378379941,1.1734458493559132
Nasal Mucosa,0.0496398319925809,0.14769397354477745,0.03343139056369092
Dehydroepiandrosterone Sulfate,0.008088377226465004,0.02998961731637344,0.009656241634952207
Schizophrenic Psychology,0.0017429093668859667,4.6960688272703084e-05,0.00023088973497606714
Absorbable Implants,0.0003119439431662372,0.0008922530771813586,0.00027490309070587993
Amblyopia,0.10793618989808319,0.16752442863148945,0.08182227136256559
Mass Screening,0.02120240932830832,0.04699721325247074,0.020242535983604884
Chest Pain,0.802144781178337,0.7689656169027554,0.5125514011429496
Product Labeling,0.043134969578970214,0.02380906895426046,0.05036643109376364
Cause of Death,1.4307907090347376,1.7812215151107542,1.9667548390472298
Positive-Pressure Respiration,6.291032500635713e-05,0.00010957493930297385,0.00011400180664443314
Iris,2.6342961926285033,2.3482092117526134,2.678921239033316
Sex Offenses,0.03927397061679249,0.07778255334235387,0.08896470100796586
Vasoconstrictor Agents,0.0008276130320784494,0.0036316265597557047,0.0009791167823828845
Smoking,16.276190903787338,14.532845931939633,11.46130511412612
Microscopy,2.8001245497429283,9.150211842122406,2.595632096323231
"Fluorescent Antibody Technique, Indirect",1.7275892359258694e-05,2.3480344136351542e-05,8.22544680852239e-05
Group Processes,0.03041958684232262,0.01792072043028875,0.03461325739459966
Gonadotropin-Releasing Hormone,0.035807709497012175,0.09693468737623795,0.03652964219490102
Suicidal Ideation,0.22538487728145404,0.35276608137741927,0.24432607449083063
Aryldialkylphosphatase,7.529681386771242e-05,0.0002661105668786508,7.070998133642055e-05
