,Term,Count
0,Analgesics,228665
1,"Endocarditis, Bacterial",70
2,Anatomic Landmarks,9736
3,Psychiatry,789555
4,"Hernias, Diaphragmatic, Congenital",0
5,Taiwan,2194072
6,Vancomycin,359009
7,Drowning,553865
8,Poverty,3568156
9,Fingers,5718685
10,Saliva,803302
11,Nasal Mucosa,56611
12,Dehydroepiandrosterone Sulfate,11495
13,Schizophrenic Psychology,18
14,Absorbable Implants,342
15,Amblyopia,64212
16,Mass Screening,18014
17,Chest Pain,294744
18,Product Labeling,9126
19,Cause of Death,682741
20,Positive-Pressure Respiration,42
21,Iris,900067
22,Sex Offenses,29814
23,Vasoconstrictor Agents,1392
24,Smoking,5570430
25,Microscopy,3507270
26,"Fluorescent Antibody Technique, Indirect",9
27,Group Processes,6869
28,Gonadotropin-Releasing Hormone,37155
29,Suicidal Ideation,135215
30,Aryldialkylphosphatase,102
31,Social Class,163451
32,Urothelium,44456
33,Cluster Analysis,167993
34,"Antigens, Tumor-Associated, Carbohydrate",9
35,"Hyperthermia, Induced",35
36,Committee Membership,3037
37,Rabbits,1091149
38,Career Mobility,1687
39,"Ventilators, Mechanical",21
40,Gestational Age,432636
41,Sternum,142933
42,"Anesthetics, Intravenous",66
43,Prosthesis-Related Infections,163
44,Piperazines,5060
45,Drug Users,169943
46,Systemic Inflammatory Response Syndrome,29087
47,Preoperative Care,1558
48,Intelligence,8179650
49,Florida,7855062
50,"Contraceptives, Oral, Hormonal",8
51,Vascular Endothelial Growth Factor A,528
52,Chemical and Drug Induced Liver Injury,0
53,Tamoxifen,398730
54,Vision Disorders,3049
55,Access to Information,179066
56,Community-Institutional Relations,7
57,France,10739772
58,Single-Blind Method,485
59,Elective Surgical Procedures,3572
60,"Cholesterol, Dietary",292
61,Signal Transduction,623793
62,Bombs,1322693
63,Cesarean Section,126200
64,Birth Order,39640
65,Microbial Sensitivity Tests,46
66,Herpesviridae Infections,50
67,Vaginal Neoplasms,72
68,Diet,11814153
69,Comorbidity,501873
70,Semicircular Canals,16325
71,Patient Discharge,8273
72,Intestinal Mucosa,86069
73,Pyridines,14606
74,"Infectious Disease Transmission, Vertical",11
75,"Abortifacient Agents, Nonsteroidal",6
76,Hip Fractures,58216
77,Chronic Disease,339879
78,Mastectomy,206175
79,Aromatase Inhibitors,28382
80,Cell Count,416277
81,Reproductive Behavior,12807
82,Varicose Veins,56711
83,Pitch Discrimination,4726
84,"Neovascularization, Pathologic",8
85,Parity,1424579
86,Methotrexate,302816
87,Mental Recall,306
88,Shoulder Pain,76808
89,"Abortion, Induced",174
90,Athletic Performance,47724
91,Medical Indigency,529
92,Molecular Diagnostic Techniques,2075
93,Immunization Programs,13201
94,Midodrine,7111
95,Health Facility Merger,3
96,Face,38637838
97,Penis,1082488
98,"Receptors, Estrogen",726
