,Term,Count
0,Analgesics,377441
1,"Endocarditis, Bacterial",227
2,Anatomic Landmarks,8095
3,Psychiatry,6509836
4,"Hernias, Diaphragmatic, Congenital",14
5,Taiwan,15483879
6,Vancomycin,409631
7,Drowning,2896537
8,Poverty,30638707
9,Fingers,15168366
10,Saliva,1626329
11,Nasal Mucosa,46334
12,Dehydroepiandrosterone Sulfate,13383
13,Schizophrenic Psychology,320
14,Absorbable Implants,381
15,Amblyopia,113401
16,Mass Screening,28055
17,Chest Pain,710367
18,Product Labeling,69805
19,Cause of Death,2725810
20,Positive-Pressure Respiration,158
21,Iris,3712832
22,Sex Offenses,123300
23,Vasoconstrictor Agents,1357
24,Smoking,15884715
25,Microscopy,3597398
26,"Fluorescent Antibody Technique, Indirect",114
27,Group Processes,47972
28,Gonadotropin-Releasing Hormone,50628
29,Suicidal Ideation,338622
30,Aryldialkylphosphatase,98
31,Social Class,783454
32,Urothelium,25184
33,Cluster Analysis,186199
34,"Antigens, Tumor-Associated, Carbohydrate",19
35,"Hyperthermia, Induced",111
36,Committee Membership,45926
37,Rabbits,2692356
38,Career Mobility,21825
39,"Ventilators, Mechanical",177
40,Gestational Age,396235
41,Sternum,267640
42,"Anesthetics, Intravenous",191
43,Prosthesis-Related Infections,120
44,Piperazines,5339
45,Drug Users,685624
46,Systemic Inflammatory Response Syndrome,25097
47,Preoperative Care,4008
48,Intelligence,58105145
49,Florida,69083719
50,"Contraceptives, Oral, Hormonal",27
51,Vascular Endothelial Growth Factor A,1355
52,Chemical and Drug Induced Liver Injury,96
53,Tamoxifen,514476
54,Vision Disorders,13262
55,Access to Information,1731471
56,Community-Institutional Relations,69
57,France,73606025
58,Single-Blind Method,623
59,Elective Surgical Procedures,7666
60,"Cholesterol, Dietary",1181
61,Signal Transduction,507717
62,Bombs,7563469
63,Cesarean Section,209412
64,Birth Order,102950
65,Microbial Sensitivity Tests,989
66,Herpesviridae Infections,269
67,Vaginal Neoplasms,261
68,Diet,38312830
69,Comorbidity,550405
70,Semicircular Canals,29833
71,Patient Discharge,18047
72,Intestinal Mucosa,66113
73,Pyridines,12934
74,"Infectious Disease Transmission, Vertical",276
