,Term,Count
0,colorectal surgery,31580
1,homa,3302
2,spectral domain enhanced depth,12
3,french,336494
4,plasminogen activator,174065
5,concussion,418173
6,605,3805771
7,34 %,8636
8,xgc,1059
9,problems,26545719
10,minimum inhibitory concentration,47719
11,beta1gly49,0
12,thirty - two,16
13,teaching sessions,8626
14,power output,233959
15,care givers,19141
16,real,58606253
17,intrathecally,21477
18,iqs,737
19,overweight,1276117
20,51 %,7277
21,polymorphisms,1110195
22,< or,143548
23,quieter,304299
24,recalled,2294658
25,occlusion,996815
26,twenty two,17178
27,40,152663127
28,frozen,3410762
29,cavitated,7755
30,ptv,2483
31,receptor,10186638
32,quality control gene,41
33,response,39830819
34,- 105,218322
35,aquagenic,1057
36,operative,1415567
37,255,10123623
38,complete,24204896
39,radioimmunoassays,14303
40,mosaicism,64030
41,conventional screening,3180
42,29 % a± 14 %,0
43,improvement,7913065
44,surgeries,714960
45,ostial,17672
46,tmj,1182
47,0. 840,50
48,surgical procedure,334247
49,dependent,7530268
50,identical,6376102
51,maternity,417256
52,faculty of medicine department of pathology,0
53,under 1,1053800
54,20a \ xa0mm,0
55,drugs,11750996
56,less than,16797682
57,goiter,79127
58,men,49240487
59,proliferation,5948614
60,71,69161914
61,floating,2884279
62,evla,168
63,tubulointerstitial,48610
64,edematous,45484
65,anterior to superior inserting zones,2
66,decreases,4144309
67,coronary artery bypass grafting,77586
68,acidosis,280516
69,interface hepatitis,2717
70,familial,735317
71,calcified stricture,2
72,ora,400878
73,bcpap,5
74,computed tomographic,66974
75,new onset,41891
76,4. 1a° a± 3. 2a°,0
77,blood coagulation disorders,1048
78,february 2012,310
79,estradiol,417396
80,speech,10728816
81,implicit chart,20
82,2007,20878003
83,restrictions,3633409
84,length,27370074
85,systolic,1080847
86,cystourethrography,5672
87,noise,11012936
88,increased,36127562
89,follow up,1161494
90,device,32107766
91,the eyeball,46980
92,sections,8917692
93,secretory,571384
94,lay,9741359
95,hundred and ninety,45940
96,laboratory parameters,57252
97,gastric carcinoma,66712
98,treated,18817345
99,kidneys,890764
100,linear anorectal endosonography,0
101,biochemical failure,10045
102,pon 1,23
103,stool sample,24701
104,fresh,13317749
105,726,2761859
106,skin prick tests,9366
107,multi,11747726
108,alternative imaging,3411
109,loa,50279
110,each time point,261583
111,linear regression analysis,140190
112,hyperopic,20932
113,cho,6450481
114,eigenvalue,1281242
115,10 ml / h,0
116,drank,1230378
117,distant,3560140
118,26,116979280
119,end of life,129922
120,blood,32805386
121,over 85 years,3518
122,crfs,377
123,dillman,55
124,200 mm hg,2
125,frc,11112
126,ukr,6421
127,acute care,125461
128,propagation maps,470
129,multidetector,33012
130,laparoscopic,788332
131,histopathological findings,34199
132,blood smears,35823
133,sulfate,1305929
134,t3,382987
135,caloric,292485
136,elastomeric,214458
137,like growth factor 1,1877
138,99,195273231
139,ra,32238731
140,pro,72986108
141,nitric oxide,778163
142,fibrous tissue deposition,387
143,ear - down,0
144,convictions,2071171
145,woman,24364619
146,specific,44635235
147,infant,2654707
148,independent,20249681
149,aching,330272
150,34 weeks,44859
151,potential stepparents,12
152,multinomial,120990
153,smoking,5155464
154,hearing,15057051
155,", 11",401081
156,toupet,896
157,paclitaxel,396801
158,arterial co,257
159,hartmann,2609
160,griefswald,2
161,cxr,659
162,132 mmhg,0
163,orthostatic myoclonus,95
164,hepatitis c virus,504
165,mastectomy,196545
166,carboplatin,159290
167,62 %,6871
168,85,72914885
169,unintended,510615
170,impaired,2887947
171,mucosal,995121
172,axial length,74869
173,parent,14757190
174,structural equations,6582
175,20a°,0
176,epicardial fat tissue thickness,87
177,14 years,571241
178,recurred,113482
179,. 0,45697
180,recurrent disease,62756
181,percent,26666932
182,aged >,24857
183,spinal cord injury,190869
184,all,381250462
185,lactate,914741
186,003,50913517
187,lost,22275252
188,ho,7317584
189,mixed,9372332
190,a ‰ ¥ 5,0
191,rds,38904
192,thyroid cancer,224972
193,senior,7023447
194,passage,5547805
195,acute,7700887
196,duodenum,230201
197,urinary dysfunction,4376
198,shbg,266
199,vessel (,46121
200,low - and high -,6
201,af,8018493
202,serum lipids,39043
203,duplex,605265
204,cit,5858237
205,postdelivery counseling,2
206,amylase,154971
207,bp,1784613
208,dacron,4607
209,trauma service,3382
210,pull - through,1
211,to drink,1323981
212,no difference,1443446
213,67a€ ‰,0
214,corpus cavernosum,19248
215,surrogate outcomes,3559
216,spondylolysis,12433
217,unfitness for work,250
218,twenty one,21695
219,appropriate,16396813
220,- nxm0,0
221,ventilated,254915
222,lower,41381596
223,displaced,1234015
224,2170,283290
225,cfae,110
226,elective,547350
227,896,3193509
228,pressure,24056171
229,straight,11685460
230,january 2012,409
231,blood levels,121861
232,90 / 50 mm hg,0
233,maternal mortality audit,38
234,. 9 mmhg,0
235,neutrophilic asthma,2528
236,etdrs,1
237,tnm,1713
238,cox analyses,154
239,635 females,62
240,mental disorders,280337
241,0. 76a±0. 79 after,0
242,provocation,350982
243,pelvimetry,2732
244,optic microscopy,883
245,analgesia,443147
246,94a€ ‰,0
247,tachycardia,395786
248,early surfactant,495
249,clabsi,0
250,allele,2470441
251,1 of,4109560
252,- 1000,54779
253,significant differences,2793840
254,tremor,390424
255,dinucleotide phosphate,35909
256,accepted,8179743
257,100 cases,37211
258,twenty -,1333
259,103,15244157
260,surgical treatment,384721
261,suture,655646
262,urban,5270524
263,umat,4115
264,adnexal,49421
265,maxillary alveolar bone,656
266,above the lower margin of l3,0
267,blood leukocyte count,1340
268,ecl,67429
269,midwives,237449
270,nag,566486
271,cone - beam,2
272,radiograph,733587
273,67.,4599640
274,10 % increase,347
275,aged 25 - 44 years,5
276,4. 24,8117
277,two hundred knees,4
278,ibd,3303
279,\ xa0 %,0
280,pre -,3949
281,92. 0 %,0
282,31. 85,44
283,power,59460143
284,prevalences,83143
285,131,10172987
286,cystatin,93542
287,abdominal,2334599
288,serum cholesterol,86031
289,chronic obstructive pulmonary disease,238917
290,blood ph,4636
291,intermediate grade,6272
292,walk,13287018
293,ureteroscopic,7439
294,aortoplasty,2388
295,nicotinamide,134070
296,left renal artery,9534
297,upper airway,97746
298,pigs,1806916
299,skin diseases,78785
300,longitudinal weight changes,22
301,amd,386327
302,tuberculosis,1484370
303,methadone,216795
304,zero,14373545
305,12 item,5097
306,organ - confined,20
307,hepatectomy,128777
308,waveform analysis,7250
309,118,10179331
310,density lipoprotein,191583
311,retrograde,488088
312,w - d,3086
313,iv,1807062
314,protein loss,15142
315,prone and supine positions,963
316,ventral,1045468
317,spatiotemporal clustering,601
318,4. 1a±1. 3,0
319,weakness,3035292
320,27. 2 %,2
321,plasminogen activator inhibitor,44827
322,stenosis,1023355
323,i²1,0
324,thermo therapy,59
325,osseous,101911
326,knee,4117373
327,rattlesnake bites,1105
328,. 41 months,1
329,hsv1,703
330,ivf,3834
331,intermediate,5196175
332,window stage,357
333,fft,104254
334,more than 1,4302185
335,tcd,9257
336,hispanic,30595
337,angiograms,43995
338,2. 2,163366
339,7. 1 days,8
340,contacted,2215957
341,below,33475041
342,liquid chromatography,620187
343,anatomic landmarks,9637
344,declined,3617593
345,axis,7796950
346,cervical stenosis,4142
347,doubling,807988
348,yield,10202792
349,freeform,39924
350,uncontrolled,582264
351,03 ng,7044
352,cc,1303669
353,radicular,46895
354,additional,28095729
355,717,2990162
356,free triiodothyronine,7884
357,95a \ xa0,0
358,load,12853645
359,hccs,63
360,level iii,75
361,london handicap scale,0
362,beta1ser49gly,0
363,adjacent endometrium,230
364,chronic hepatitis,212240
365,93 %,6679
366,mus,20232552
367,subjective measures,19570
368,townships,154250
369,0a,4896666
370,twelve,3559089
371,chloride level,1907
372,gs,253836
373,sleep disorders,105223
374,peptide nucleic acid locked nucleic acid polymerase chain reaction,4
375,sons of men,13331
376,a ‰,27
377,2. 59,1308
378,shunt,450141
379,yorkshire region,4
380,sera,1289512
381,reduction,13988747
382,back of,4421673
383,\ xa010a,0
384,crohn ' s disease,0
385,and,4493028850
386,weight,28601880
387,antiretroviral,364571
388,988,9947020
389,presenting,2874519
390,urinary retention,55004
391,examine,6255333
392,561,3376270
393,. 2a \,0
394,temporomandibular joint,58452
395,right hemisphere,131303
396,trabecular separation,8448
397,bcrabl,47
398,‰ ¥ 7,0
399,126,10240477
400,cmxros,0
401,transforming growth factor - beta1,3
402,19 %,10576
403,pct,77461
404,cross - clamping,2
405,jl,49536
406,5. 4a \ xa0mm,0
407,smaller,16381443
408,achilles tendon,5493
409,body mass index,877463
410,gait impairment,4232
411,multivariate analysis,501777
412,admitted,7295695
413,intraarticular,26508
414,beta - catenin,9
415,"80, 565",289
416,intact,2860419
417,platelet count,206366
418,unspecified workers,25
419,rps,36100
420,5 years,6942904
421,iadls,3
422,non,90467319
423,9 days,402042
424,hypertensives disorders,6
425,electronic,8907286
426,hemorrhage,996877
427,preceding 5 years,1839
428,inequality,4353144
429,coronary heart disease,289766
430,tc,571751
431,imx,80958
432,inlay component,22
433,systemic,3524246
434,. 9 years,11
435,within 5 years,35219
436,pcna,540
437,nbq,320
438,antiretroviral therapy,187079
439,esthetic outcomes,2036
440,teleconsultation,7604
441,13 days,98116
442,recovery,8545333
443,consecutive,3853903
444,lagb,532
445,polymerase chain reaction,704369
446,angiolymphatic,2331
447,11 months,182680
448,inverted or,5768
449,cannulated,64257
450,nasal,1449713
451,mace,130536
452,taking,26811471
453,redo - procedures,0
454,tumor,15761416
455,m,247428440
456,hematology clinic,910
457,transparotid,536
458,a±a€,0
459,microfat,440
460,dental clinic,24856
461,glomerular filtration rate,212783
462,paired sample,17319
463,skiv2l,18
464,left - ear - down position,0
465,10. 0,3564
466,. 2 +,68
467,greater than,5926866
468,poly implant,23
469,pleural,512927
470,17,210756985
471,7 cm,243110
472,wait,14328431
473,small parts,52922
474,guidewires,17236
475,below mid,1589
476,staining,5128185
477,meniere ' s disease,0
478,hemodialysis,407610
479,kidney,4026684
480,luteal estradiol,167
481,accommodation facility,1316
482,deferens,52022
483,distal,2533150
484,aninitial,153
485,crystal violet,135130
486,debris,1729443
487,central,18231652
488,cause,31112230
489,ct films,0
490,escape latency,21383
491,79 and 84a \ xa0 %,0
492,arch angle,930
493,ossification,150301
494,birth defects,163099
495,low - vacuum surface electronic microscopy,0
496,ejection fraction,352038
497,3 - day,181
498,diseased,495740
499,173,7153930
500,agitation,653568
501,macroplastique,46
502,sensitivity,8556785
503,remission,978869
504,trios,62570
505,fluent,405919
506,consultation,1705365
507,esophageal mucosa,12682
508,segment,7427499
509,techniques,12205632
510,sps,49982
511,diverting loop,1070
512,hellp syndrome,61
513,exclusive,4192404
514,arm circumference,19191
515,guidewire,138674
516,encephalopathy,286463
517,breakfast,3812092
518,dwelling,884365
519,peripheral blood mononuclear cells,161712
520,frequent disorder,1344
521,45 - 64,1237
522,two hundred and thirty eight eligible,0
523,multivariate,1713629
524,poorly,2875229
525,functions,23727970
526,personality dysfunction,1092
527,cooperative cardiovascular,18
528,multivariate modeling,3974
529,vwf,725
530,bbpv,19
531,sternal closure,3409
532,proportional hazards models,30314
533,one hundred,1640495
534,resistant,3113922
535,reactive,2361741
536,endometrial adenocarcinoma,12483
537,contrast,16674541
538,31. 6 %,2
539,919,3912256
540,steatosis,273196
541,manual,4445462
542,sports,6548505
543,34.,6749030
544,99. 68 %,0
545,soft tissue sarcoma,27446
546,t,221934671
547,controls,11780278
548,16,242478917
549,5 - 14a,48
550,facial,2226506
551,sexual dimorphism,64767
552,complications,5052282
553,0. 40,6259
554,arterial,2240785
555,single,49463271
556,+,371399650
557,whitney,4542
558,foreign bodies,69358
559,10 - year period,2
560,pupils,993583
561,counter,16065448
562,246,4881938
563,ldl - cholesterol,0
564,carbon dioxide,1164459
565,74. 4 % of cases,0
566,- clamp,1727
567,gca,9412
568,both genders,125696
569,gastrectomy,166784
570,2010,27300800
571,12months,6307
572,sludge,577741
573,¤65,18
574,canadians,3990
575,biodex,71
576,mitomycin,91727
577,polypectomy,31604
578,ventilation,1505385
579,133 ml,260
580,anaphylaxis,145856
581,more than,47229750
582,cas,12911028
583,glass producing,224
584,dermatitis,409918
585,862,3043429
586,bcl,110041
587,surgeons,1009935
588,rtp,37610
589,logistic regression analysis,312826
590,pfs,15229
591,efw,2020
592,cetyl,47784
593,4a — 2,2
594,bracket - ligature,0
595,90a°,0
596,1161,503774
597,0. 0 mm,5
598,dark field om,0
599,gait,942806
600,laminectomy,64611
601,fetal,2456161
602,pneumococcal vaccination,12207
603,< 20 mg weekly,0
604,violence,8636279
605,2 weeks,1988349
606,diseases,9774850
607,s,189128000
608,artery disease,528111
609,city centre genitourinary medicine clinic,5
610,embolization,277833
611,heart disease,1469855
612,laparotomy,207941
613,epoxy allergy,21
614,one minute after,9735
615,dsr,9251
616,gb polyps,0
617,individuals,17580574
618,art fetuses,0
619,abdomen,953200
620,decoding,1186586
621,glycemic,405421
622,ischemia,1479431
623,above mid - calf,0
624,meniscal damage,1251
625,wound,4601390
626,shock,9794870
627,ordered,9031535
628,language literature,7565
629,transversal study,2612
630,line,67583823
631,80,132748962
632,ppv,18700
633,fir,3697872
634,violent crime incidents,170
635,london,77029
636,12 - year - old,3
637,es,21430037
638,liver enzymes,89440
639,icu,31728
640,¥66,710
641,cdh,6083
642,histological analysis,90369
643,biofeedback,83973
644,microdose,5869
645,6000,2859320
646,both,115072166
647,dimension rxl,0
648,oxaliplatin,152982
649,angio -,6
650,fixed - effects,15
651,visiting,3316938
652,laser fluorescent,262
653,bezafibrate,12903
654,long distances,207631
655,cell death,1874836
656,restored,2497572
657,16th and 23rd week,4
658,myoma,24204
659,soft,13076667
660,medical center,151127
661,liver damage,123452
662,casualties,931906
663,vascular dysfunction,29620
664,five grams,17186
665,packed,2934110
666,boston bowel preparation scale,6
667,locoregional,89329
668,predialysis,17114
669,stds,4969
670,1. 47,2465
671,misty,177693
672,esc,5410008
673,antiseptic solutions,1882
674,a£400,1
675,mesorectal excision,14391
676,event free survival,4403
677,thyroid,2132098
678,aeruginosa,724670
679,bootstrap validation,1213
680,once per week,49191
681,healthy adults,132909
682,mossy fibers,12026
683,tuberculous meningitis,11760
684,ssa,32969
685,buenos,62497
686,conventional pre - adjusted edgewise brackets,0
687,dawley,558
688,mean birthweight,3385
689,ht2 receptors,0
690,ds,1959061
691,killer ig,0
692,hiv / aids,29
693,70 %,41947
694,south metropolitan,59
695,younger patients,137699
696,fluoroscope,9242
697,vein,2301505
698,-,789355612
699,joints,1676550
700,descriptive,1198660
701,strongest,1989164
702,contact,24286370
703,unmet,309385
704,implanted,1095333
705,4 / 42,435
706,thyroidectomy,102541
707,dementia,1737447
708,45 to 64,138102
709,5d index,125
710,denser,271128
711,123,15651074
712,all - polyethylene,0
713,cardiac reoperation,294
714,resections,136301
715,carcinoma,3793211
716,tdt,5920
717,caring,1523290
718,13a€ ‰,0
719,resuscitation,434430
720,recurrent,2115318
721,otc,14750
722,greater than 1 cm increase,2
723,slower drop,351
724,various,33522980
725,left,64104003
726,uninsured,456109
727,nsvt,49
728,visit,18746803
729,scd,9346
730,formula,9348204
731,staged classification,41
732,laypersons,24029
733,pcxmc,6
734,transverse sternal plate,4
735,epilepsy syndromes,5841
736,occupational diseases,18483
737,38,88419340
738,> 50a \ xa0years,0
739,1778,429371
740,cycles,4267143
741,congenital malformations,47053
742,english,527416
743,infrared pupillometry,244
744,cancer,29148448
745,digoxigenin - 11 - dutp,0
746,gi,2495759
747,allowance,909695
748,3 consecutive,106542
749,39. 49 %,0
750,protein kinase c,1622
751,ratio,17549687
752,osa,126027
753,6 - min,65
754,video - recorded,24
755,computed tomography,852460
756,numbness,224935
757,0. 557,55
758,79 years,75686
759,conservative,4390990
760,4 weeks,1257034
761,house,31974982
762,cardiac i,232
763,transplanting,81831
764,2. 6,29058
765,white,27263659
766,nhs referral rates,0
767,regional,5477453
768,insertion torque,6551
769,events,24809205
